feature,defect_vs_background,interference_vs_background,defect_vs_interference,base_rate_defect_vs_background,base_rate_interference_vs_background,base_rate_defect_vs_interference
w5m_ptp_nt,0.9028669697667266,0.5387828519284865,0.706902862305494,0.03859141341051616,0.049947033898305085,0.4329524954900782
w5m_kurt,0.06950372138594803,0.061384650932562644,0.5209152048474,0.03859141341051616,0.049947033898305085,0.4329524954900782
w5m_zcr,0.30347109147045026,0.3915316400442541,0.44372354795491054,0.03859141341051616,0.049947033898305085,0.4329524954900782
w5m_energy_nt2,0.9586906834578103,0.7722134285306461,0.5070594581978728,0.03859141341051616,0.049947033898305085,0.4329524954900782
w10m_mean_nt,0.644948775579988,0.7234059279273592,0.39827667713447934,0.03859141341051616,0.049947033898305085,0.4329524954900782
w10m_std_nt,0.5408720738065718,0.47069734706263494,0.5299051912171466,0.03859141341051616,0.049947033898305085,0.4329524954900782
w10m_max_nt,0.5158651063444051,0.47670572409214074,0.5070624602614224,0.03859141341051616,0.049947033898305085,0.4329524954900782
w10m_ptp_nt,0.5115877445983927,0.43691669102389386,0.5392637819772872,0.03859141341051616,0.049947033898305085,0.4329524954900782
w10m_kurt,0.06388593099069295,0.14464361483409321,0.6805440039602861,0.03859141341051616,0.049947033898305085,0.4329524954900782
w10m_zcr,0.27723931541697644,0.5009705695908336,0.4702213626493726,0.03859141341051616,0.049947033898305085,0.4329524954900782
w10m_energy_nt2,0.5883275025835545,0.6400076858049127,0.42054778693600975,0.03859141341051616,0.049947033898305085,0.4329524954900782
w25m_mean_nt,0.2100103407187406,0.6734610272922995,0.7191340084821883,0.03859141341051616,0.049947033898305085,0.4329524954900782
w25m_std_nt,0.20858783157755958,0.3857916491779293,0.4423756988628572,0.03859141341051616,0.049947033898305085,0.4329524954900782
w25m_max_nt,0.20610388021473966,0.2802439624680581,0.43753463918798347,0.03859141341051616,0.049947033898305085,0.4329524954900782
w25m_ptp_nt,0.2063042879290878,0.2730056107415767,0.44014305914913804,0.03859141341051616,0.049947033898305085,0.4329524954900782
w25m_kurt,0.16826350917128474,0.14360927935755277,0.9851322118709964,0.03859141341051616,0.049947033898305085,0.4329524954900782
w25m_zcr,0.11744683816447242,0.629946384783476,0.7861907804157404,0.03859141341051616,0.049947033898305085,0.4329524954900782
w25m_energy_nt2,0.20918028485505413,0.5163556488220626,0.5707184311515862,0.03859141341051616,0.049947033898305085,0.4329524954900782
fwhm_m,0.4137795460942914,0.6620078402823216,0.5780297470653335,0.03859141341051616,0.049947033898305085,0.4329524954900782
peak_asymmetry,0.17986676511867608,0.1991705091116426,0.4859646012367509,0.03859141341051616,0.049947033898305085,0.4329524954900782
decay_exponent,0.5353010512891558,0.5276067128920358,0.4224070283984061,0.03859141341051616,0.049947033898305085,0.4329524954900782
peak_prominence_nt,0.540568164339832,0.513038780772037,0.45554454522275484,0.03859141341051616,0.049947033898305085,0.4329524954900782
peak_distance_m,0.2550522577833678,0.40899927451654716,0.5256453627206146,0.03859141341051616,0.049947033898305085,0.4329524954900782
r_mag_norm_nt_m3,0.6965877692517353,0.6433441868556883,0.45800364753020695,0.03859141341051616,0.049947033898305085,0.4329524954900782
peak_prominence_norm_nt_m3,0.540568164339832,0.513038780772037,0.45554454522275484,0.03859141341051616,0.049947033898305085,0.4329524954900782
